sample_id,d13C_measurement,d13C_precision
456606,-4.86,0.08
456607,-5.03,0.08
456608,-4.94,0.08
456609,-5.25,0.08
456610,-5.54,0.08
456611,-5.63,0.08
456612,-5.78,0.08
456613,-5.78,0.08
456614,-5.98,0.08
456615,-6.1,0.08
456616,-6.04,0.08
456617,-6.13,0.08
456618,-6.3,0.08
456619,-6.22,0.08
456620,-5.99,0.08
456621,-6.31,0.08
456622,-6.49,0.08
456623,-6.36,0.08
456624,-6.57,0.08
456625,-6.78,0.08
456626,-6.62,0.08
456627,-6.76,0.08
456628,-6.68,0.08
456629,-6.47,0.08
456630,-6.22,0.08
456631,-6.06,0.08
456632,-6.07,0.08
456633,-5.9,0.08
456634,-6.04,0.08
456635,-6.5,0.08
456636,-7.2,0.08
456637,-7.38,0.08
456638,-7.43,0.08
456639,-7.57,0.08
456640,-7.4,0.08
456641,-7.45,0.08
456642,-7.51,0.08
456643,-7.62,0.08
456644,-7.72,0.08
456645,-7.8,0.08
456646,-7.49,0.08
456647,-7.6,0.08
456648,-7.59,0.08
456649,-7.37,0.08
456650,-7.38,0.08
456651,-7.56,0.08
456652,-7.61,0.08
456653,-7.62,0.08
456654,-7.45,0.08
456655,-7.2,0.08
456656,-7.23,0.08
456657,-7.38,0.08
456658,-7.27,0.08
456659,-7.17,0.08
456660,-7.36,0.08
456661,-7.28,0.08
456662,-7.43,0.08
456663,-7.38,0.08
456664,-7.29,0.08
456665,-7.33,0.08
456666,-7.35,0.08
456667,-7.35,0.08
456668,-7.65,0.08
456669,-7.43,0.08
456670,-7.29,0.08
456671,-7.41,0.08
456672,-7.39,0.08
456673,-7.54,0.08
456674,-7.54,0.08
456675,-7.53,0.08
456676,-7.66,0.08
456677,-7.84,0.08
456678,-7.81,0.08
456679,-7.76,0.08
456680,-7.98,0.08
456681,-7.99,0.08
456682,-7.9,0.08
456683,-7.82,0.08
456684,-8.0,0.08
456685,-7.97,0.08
456686,-8.06,0.08
456687,-8.16,0.08
456688,-8.01,0.08
456689,-7.58,0.08
456690,-7.59,0.08
456691,-7.78,0.08
456692,-7.9,0.08
456693,-8.01,0.08
456694,-8.07,0.08
456695,-7.79,0.08
456696,-7.62,0.08
456697,-7.8,0.08
456698,-7.16,0.08
456699,-7.29,0.08
456700,-7.11,0.08
456701,-7.13,0.08
456702,-6.93301073355368,0.08
456703,-6.8270940989706,0.08
456704,-6.5698251195545,0.08
456705,-6.60722161081167,0.08
456706,-6.40114335233808,0.08
456707,-6.3467124013927,0.08
456708,-6.24755866153567,0.08
456709,-5.86080761246383,0.08
456710,-5.84124756429065,0.08
456711,-5.65112756159602,0.08
456712,-5.68740081845243,0.08
456713,-5.64266433269505,0.08
456714,-5.64524359713583,0.08
456715,-5.65107867817814,0.08
456716,-5.69710167707488,0.08
456717,-5.63615424213213,0.08
456718,-5.81386793445739,0.08
456719,-5.83793459180186,0.08
456720,-5.77100929411273,0.08
456721,-6.03859529968589,0.08
456722,-5.95068439257286,0.08
456723,-6.05687480738824,0.08
456724,-5.91872584038084,0.08
456725,-5.54306088083461,0.08
456726,-5.61784686445554,0.08
456727,-5.68761979536335,0.08
456728,-5.61692789681703,0.08
456729,-5.14522792711837,0.08
456730,-5.25561564350407,0.08
456731,-5.43890709060754,0.08
456732,-5.47700729987486,0.08
456733,-5.3959500601028,0.08
456734,-5.09470716839531,0.08
456735,-4.66197375463549,0.08
