sample_id,d18O_measurement,d18O_precision
456606,-4.0,0.08
456607,-4.0,0.08
456608,-3.95,0.08
456609,-3.96,0.08
456610,-4.1,0.08
456611,-3.96,0.08
456612,-3.98,0.08
456613,-4.01,0.08
456614,-4.05,0.08
456615,-4.06,0.08
456616,-4.01,0.08
456617,-4.07,0.08
456618,-4.22,0.08
456619,-4.14,0.08
456620,-4.07,0.08
456621,-3.99,0.08
456622,-4.24,0.08
456623,-4.26,0.08
456624,-4.12,0.08
456625,-4.29,0.08
456626,-4.25,0.08
456627,-4.21,0.08
456628,-3.99,0.08
456629,-3.91,0.08
456630,-3.97,0.08
456631,-3.88,0.08
456632,-3.98,0.08
456633,-3.82,0.08
456634,-3.72,0.08
456635,-3.81,0.08
456636,-4.03,0.08
456637,-4.23,0.08
456638,-4.27,0.08
456639,-4.22,0.08
456640,-4.03,0.08
456641,-4.09,0.08
456642,-4.15,0.08
456643,-4.18,0.08
456644,-4.24,0.08
456645,-4.25,0.08
456646,-4.12,0.08
456647,-4.14,0.08
456648,-4.11,0.08
456649,-4.02,0.08
456650,-4.06,0.08
456651,-4.14,0.08
456652,-4.42,0.08
456653,-4.74,0.08
456654,-4.47,0.08
456655,-4.33,0.08
456656,-4.36,0.08
456657,-4.34,0.08
456658,-4.29,0.08
456659,-4.25,0.08
456660,-4.31,0.08
456661,-4.26,0.08
456662,-4.27,0.08
456663,-4.25,0.08
456664,-4.32,0.08
456665,-4.38,0.08
456666,-4.34,0.08
456667,-4.23,0.08
456668,-4.26,0.08
456669,-4.37,0.08
456670,-4.26,0.08
456671,-4.29,0.08
456672,-4.25,0.08
456673,-4.34,0.08
456674,-4.3,0.08
456675,-4.28,0.08
456676,-4.29,0.08
456677,-4.25,0.08
456678,-4.3,0.08
456679,-4.32,0.08
456680,-4.34,0.08
456681,-4.39,0.08
456682,-4.41,0.08
456683,-4.37,0.08
456684,-4.32,0.08
456685,-4.36,0.08
456686,-4.47,0.08
456687,-4.46,0.08
456688,-4.46,0.08
456689,-4.65,0.08
456690,-4.65,0.08
456691,-4.61,0.08
456692,-4.5,0.08
456693,-4.47,0.08
456694,-4.48,0.08
456695,-4.36,0.08
456696,-4.24,0.08
456697,-4.39,0.08
456698,-4.25,0.08
456699,-4.29,0.08
456700,-4.37,0.08
456701,-4.3,0.08
456702,-4.23703943613371,0.08
456703,-4.36468438210667,0.08
456704,-4.32668629907252,0.08
456705,-4.3255171778582,0.08
456706,-4.30859084168207,0.08
456707,-4.3821872647408,0.08
456708,-4.36410784848895,0.08
456709,-4.34857121758954,0.08
456710,-4.49252440643457,0.08
456711,-4.38670825167122,0.08
456712,-4.42734850652259,0.08
456713,-4.43523825960306,0.08
456714,-4.37092367333472,0.08
456715,-4.51417131804908,0.08
456716,-4.46854714946632,0.08
456717,-4.5085404506319,0.08
456718,-4.47693391245709,0.08
456719,-4.49718165121486,0.08
456720,-4.36227799613487,0.08
456721,-4.36419539631541,0.08
456722,-4.46478194812953,0.08
456723,-4.45863371678446,0.08
456724,-4.56207309787943,0.08
456725,-4.35000205494909,0.08
456726,-4.06627304480196,0.08
456727,-4.07612740834358,0.08
456728,-4.16366268155409,0.08
456729,-4.06671880641309,0.08
456730,-3.99470473362969,0.08
456731,-4.06500311607425,0.08
456732,-4.24064551437265,0.08
456733,-4.41352855422328,0.08
456734,-4.17970853177299,0.08
456735,-4.00368203645437,0.08
456736,-3.88194386567288,0.08
456737,-4.13770055528141,0.08
456738,-4.17807704305107,0.08
456739,-4.12163996927759,0.08
456740,-4.04145479900609,0.08
456741,-4.30849224364354,0.08
456742,-4.69668846847941,0.08
456743,-4.98586151558124,0.08
456744,-4.99735224426279,0.08
456745,-5.14829457364341,0.08
456746,-5.12485822739475,0.08
456747,-5.23406033110021,0.08
456748,-4.94921120794214,0.08
456749,-5.15130477431225,0.08
456750,-5.0943100715764,0.08
456751,-5.1931544306239,0.08
456752,-5.22815168110807,0.08
456753,-5.55358570086214,0.08
456754,-5.67576065510058,0.08
456755,-5.9239776126162,0.08
456756,-5.75892344910051,0.08
456757,-5.59715335296681,0.08
456758,-5.92552127569653,0.08
456759,-5.77602795517297,0.08
456760,-5.65688927162936,0.08
456761,-5.55748893733542,0.08
456762,-5.58526987323867,0.08
456763,-5.48587353166559,0.08
456764,-5.57564058365335,0.08
456765,-5.29289338735684,0.08
456766,-5.07291317401687,0.08
456767,-4.92809806953641,0.08
456768,-5.14947935858726,0.08
456769,-5.10003245261951,0.08
456770,-5.08211265361375,0.08
456771,-5.07892298375787,0.08
456772,-5.07732067094459,0.08
456773,-4.94769636196428,0.08
456774,-4.86323561439186,0.08
456775,-4.79071629030981,0.08
456776,-4.62941902146942,0.08
456777,-4.51871216842293,0.08
456778,-4.70921616343952,0.08
456779,-4.59715415120028,0.08
456780,-4.53145333358201,0.08
456781,-4.09169738852964,0.08
456782,-3.85372778795226,0.08
456783,-3.33144565478879,0.08
456784,-3.41831837123317,0.08
456785,-3.65940114040079,0.08
456786,-3.87239822881709,0.08
456787,-4.89219798010655,0.08
456788,-4.03165546972048,0.08
456789,-4.01663710098767,0.08
456790,-3.80388805737661,0.08
456791,-3.4104017637981,0.08
456792,-2.99327549568923,0.08
456793,-2.82452818261096,0.08
456794,-2.69980342671498,0.08
456795,-2.62155715724084,0.08
456796,-2.59633304061267,0.08
456797,-2.64451312149935,0.08
456798,-2.62036066428146,0.08
456799,-2.56756074860445,0.08
456800,-2.5924565124479,0.08
456801,-2.56555979643766,0.08
456802,-2.70413486005089,0.08
456803,-2.68604325699746,0.08
456804,-2.53128498727735,0.08
456805,-2.44319338422392,0.08
456806,-2.70176844783715,0.08
456807,-2.91367684478371,0.08
456808,-2.69416030534351,0.08
456809,-2.58606870229008,0.08
456810,-2.54464376590331,0.08
456811,-2.48655216284987,0.08
456812,-2.5251272264631,0.08
456813,-2.64370229007634,0.08
456814,-2.7756106870229,0.08
456815,-2.5508524173028,0.08
456816,-2.64466921119593,0.08
456817,-2.71657760814249,0.08
456818,-2.62181933842239,0.08
456819,-2.63372773536896,0.08
456820,-2.46230279898219,0.08
456821,-2.60087786259542,0.08
456822,-2.74945292620865,0.08
456823,-3.62846698113207,0.08
456824,-4.72610849056604,0.08
456825,-3.64375,0.08
456826,-3.51139150943396,0.08
456827,-4.01903301886792,0.08
456828,-4.6075,0.08
456829,-4.3675,0.08
456830,-4.2175,0.08
456831,-4.4775,0.08
456832,-4.4875,0.08
456833,-4.3575,0.08
456834,-4.5275,0.08
456835,-4.5175,0.08
456836,-4.3675,0.08
456837,-4.3775,0.08
456838,-4.2475,0.08
456839,-3.9875,0.08
456840,-3.9275,0.08
456841,-3.9275,0.08
456842,-3.7375,0.08
456843,-3.9975,0.08
456844,-3.7975,0.08
456845,-3.8975,0.08
456846,-4.0275,0.08
456847,-3.9875,0.08
456848,-3.9775,0.08
456849,-3.9475,0.08
456850,-3.9075,0.08
456851,-3.9775,0.08
456852,-4.2375,0.08
456853,-4.2175,0.08
456854,-4.0275,0.08
456855,-3.7975,0.08
456856,-3.7675,0.08
456857,-3.6575,0.08
456858,-4.4075,0.08
456859,-4.4075,0.08
456860,-4.6375,0.08
456861,-4.6475,0.08
456862,-4.2175,0.08
456863,-4.2275,0.08
456864,-4.4275,0.08
456865,-4.6275,0.08
456866,-5.0675,0.08
456867,-5.6275,0.08
456868,-5.2475,0.08
456869,-5.05,0.08
456870,-5.1,0.08
456871,-5.59,0.08
456872,-5.37,0.08
456873,-5.33,0.08
456874,-5.43,0.08
456875,-5.08,0.08
456876,-4.87,0.08
456877,-4.58,0.08
456878,-3.3,0.08
456879,-3.57,0.08
456880,-3.49,0.08
456881,-3.42,0.08
456882,-3.28,0.08
456883,-3.32,0.08
456884,-3.24,0.08
456885,-3.27,0.08
456886,-3.06,0.08
456887,-3.19,0.08
456888,-3.41,0.08
456889,-3.78,0.08
456890,-3.86,0.08
456891,-3.33,0.08
456892,-3.57,0.08
456893,-3.76,0.08
456894,-3.54,0.08
456895,-3.47,0.08
456896,-3.52,0.08
456897,-3.22,0.08
456898,-3.1,0.08
456899,-3.07,0.08
456900,-2.92,0.08
456901,-3.15,0.08
456902,-3.09,0.08
456903,-3.19,0.08
456904,-3.47,0.08
456905,-3.31,0.08
456906,-3.18,0.08
456907,-3.18,0.08
456908,-3.5,0.08
456909,-3.19,0.08
456910,-3.20209905660377,0.08
456911,-3.20672169811321,0.08
456912,-3.36134433962264,0.08
456913,-3.25596698113208,0.08
456914,-3.66058962264151,0.08
456915,-3.83983490566038,0.08
456916,-3.95445754716981,0.08
456918,-3.89077830188679,0.08
456919,-3.91540094339623,0.08
456920,-3.88002358490566,0.08
456921,-3.80464622641509,0.08
