dating_id,entity_id,date_type,depth_dating,dating_thickness,lab_num,material_dated,min_weight,max_weight,uncorr_age,uncorr_age_uncert_pos,uncorr_age_uncert_neg,14C_correction,calib_used,date_used,238U_content,238U_uncertainty,232Th_content,232Th_uncertainty,230Th_content,230Th_uncertainty,230Th_232Th_ratio,230Th_232Th_ratio_uncertainty,230Th_238U_activity,230Th_238U_activity_uncertainty,234U_238U_activity,234U_238U_activity_uncertainty,ini_230Th_232Th_ratio,ini_230Th_232Th_ratio_uncertainty,decay_constant,corr_age,corr_age_uncert_pos,corr_age_uncert_neg,date_used_lin_interp,date_used_lin_reg,date_used_Bchron,date_used_Bacon,date_used_OxCal,date_used_copRa,date_used_StalAge
14072,803,MC-ICP-MS U/Th,776.0,5.0,AGAEL-67,calcite,100.0,500.0,,,,,,yes,194.0,,,,,,,,,,,,,,Cheng et al. 2013,122139.550693121,652.693301333617,652.693301333617,yes,yes,,yes,,yes,yes
14073,803,MC-ICP-MS U/Th,779.0,5.0,GAEL-779,calcite,100.0,500.0,,,,,,yes,203.0,,,,,,,,,,,,,,Cheng et al. 2013,121259.751070464,537.540254095965,537.540254095965,yes,yes,,yes,,yes,yes
14074,803,MC-ICP-MS U/Th,785.0,5.0,AGAEL-59,calcite,100.0,500.0,,,,,,yes,256.0,,,,,,,,,,,,,,Cheng et al. 2013,118424.971978929,2098.3394231378,2098.3394231378,yes,yes,,yes,,yes,yes
14075,803,MC-ICP-MS U/Th,792.0,5.0,AGAEL-52,calcite,100.0,500.0,,,,,,yes,235.0,,,,,,,,,,,,,,Cheng et al. 2013,125805.272356734,995.369946449478,995.369946449478,yes,yes,,yes,,yes,yes
14076,803,MC-ICP-MS U/Th,796.0,5.0,GAEL-796,calcite,100.0,500.0,,,,,,yes,255.0,,,,,,,,,,,,,,Cheng et al. 2013,128343.332917613,674.410456974655,674.410456974655,yes,yes,,yes,,yes,yes
14077,803,MC-ICP-MS U/Th,803.0,5.0,AGAE-40,calcite,100.0,500.0,,,,,,yes,293.0,,,,,,,,,,,,,,Cheng et al. 2013,129073.29148048,643.44050823197,643.44050823197,yes,yes,,yes,,yes,yes
14078,803,MC-ICP-MS U/Th,811.0,5.0,AGAE-30,calcite,100.0,500.0,,,,,,yes,221.0,,,,,,,,,,,,,,Cheng et al. 2013,129362.845785757,629.163378089334,629.163378089334,yes,yes,,yes,,yes,yes
14079,803,MC-ICP-MS U/Th,821.0,5.0,AGAE-20,calcite,100.0,500.0,,,,,,yes,240.0,,,,,,,,,,,,,,Cheng et al. 2013,133035.228616028,786.08176769812,786.08176769812,yes,yes,,yes,,yes,yes
14080,803,MC-ICP-MS U/Th,833.0,5.0,AGAE-10,calcite,100.0,500.0,,,,,,yes,326.0,,,,,,,,,,,,,,Cheng et al. 2013,140519.566978081,797.33257882418,797.33257882418,yes,yes,,yes,,yes,yes
14081,804,MC-ICP-MS U/Th,8.0,5.0,Gae-1,calcite,100.0,500.0,73388.6989923171,638.974230678649,638.974230678649,,,yes,299.035483787501,0.823829781208591,668.515907338881,3.07116017144699,,,196831393.331125,357377.491073223,0.45144404009643,0.0020833582875366,1.07135196640478,0.00327066413783359,0.816,0.408,Cheng et al. 2013,73257.3617946715,639.250253288321,639.250253288321,yes,,yes,yes,,yes,yes
14082,804,MC-ICP-MS U/Th,43.0,5.0,GAE4,calcite,100.0,500.0,74204.7096818744,296.946503398639,296.946503398639,,,yes,446.329404225122,0.605412281437907,141.740456892109,2.86555377049822,,,1382828852.36498,8627673.99046124,0.450533716860292,0.000922086679394677,1.07942233121481,0.00153841249042303,0.816,0.408,Cheng et al. 2013,74134.3676496422,296.9863997752,296.9863997752,yes,,yes,yes,,yes,yes
