sample_id,interp_age,interp_age_uncert_pos,interp_age_uncert_neg,age_model_type,ann_lam_check,dep_rate_check
456606,121849.0,1064.6616386462,1064.6616386462,other (see notes),not applicable,not applicable
456607,121879.464285714,1335.56589030543,1335.56589030543,other (see notes),not applicable,not applicable
456608,121909.928571429,1507.9635061937,1507.9635061937,other (see notes),not applicable,not applicable
456609,121940.392857143,1604.20541159871,1604.20541159871,other (see notes),not applicable,not applicable
456610,121970.857142857,1675.72255503035,1675.72255503035,other (see notes),not applicable,not applicable
456611,122001.321428571,1735.13024296739,1735.13024296739,other (see notes),not applicable,not applicable
456612,122031.785714286,1805.57307382141,1805.57307382141,other (see notes),not applicable,not applicable
456613,122062.25,1872.95884878586,1872.95884878586,other (see notes),not applicable,not applicable
456614,122092.714285714,1948.45314410452,1948.45314410452,other (see notes),not applicable,not applicable
456615,122123.178571429,2007.41159646487,2007.41159646487,other (see notes),not applicable,not applicable
456616,122153.642857143,2056.5407712194,2056.5407712194,other (see notes),not applicable,not applicable
456617,122184.107142857,2096.55640593982,2096.55640593982,other (see notes),not applicable,not applicable
456618,122214.571428571,2145.65095055128,2145.65095055128,other (see notes),not applicable,not applicable
456619,122245.035714286,2181.94154949243,2181.94154949243,other (see notes),not applicable,not applicable
456620,122275.5,2216.11055762198,2216.11055762198,other (see notes),not applicable,not applicable
456621,122305.964285714,2248.59535974703,2248.59535974703,other (see notes),not applicable,not applicable
456622,122336.428571429,2278.38624125242,2278.38624125242,other (see notes),not applicable,not applicable
456623,122366.892857143,2309.67074072184,2309.67074072184,other (see notes),not applicable,not applicable
456624,122397.357142857,2339.51527048165,2339.51527048165,other (see notes),not applicable,not applicable
456625,122427.821428571,2369.64141175924,2369.64141175924,other (see notes),not applicable,not applicable
456626,122458.285714286,2396.51898206281,2396.51898206281,other (see notes),not applicable,not applicable
456627,122488.75,2423.04546984759,2423.04546984759,other (see notes),not applicable,not applicable
456628,122519.214285714,2448.95859226951,2448.95859226951,other (see notes),not applicable,not applicable
456629,122549.678571429,2472.02228156555,2472.02228156555,other (see notes),not applicable,not applicable
456630,122580.142857143,2488.39336866204,2488.39336866204,other (see notes),not applicable,not applicable
