sample_id,entity_id,sample_thickness,depth_sample,mineralogy,arag_corr
456606,803,0.9,779.0,calcite,not applicable
456607,803,0.9,779.25,calcite,not applicable
456608,803,0.9,779.5,calcite,not applicable
456609,803,0.9,779.75,calcite,not applicable
456610,803,0.9,780.0,calcite,not applicable
456611,803,0.9,780.25,calcite,not applicable
456612,803,0.9,780.5,calcite,not applicable
456613,803,0.9,780.75,calcite,not applicable
456614,803,0.9,781.0,calcite,not applicable
456615,803,0.9,781.25,calcite,not applicable
456616,803,0.9,781.5,calcite,not applicable
456617,803,0.9,781.75,calcite,not applicable
456618,803,0.9,782.0,calcite,not applicable
456619,803,0.9,782.25,calcite,not applicable
456620,803,0.9,782.5,calcite,not applicable
456621,803,0.9,782.75,calcite,not applicable
456622,803,0.9,783.0,calcite,not applicable
456623,803,0.9,783.25,calcite,not applicable
456624,803,0.9,783.5,calcite,not applicable
456625,803,0.9,783.75,calcite,not applicable
456626,803,0.9,784.0,calcite,not applicable
456627,803,0.9,784.25,calcite,not applicable
456628,803,0.9,784.5,calcite,not applicable
456629,803,0.9,784.75,calcite,not applicable
456630,803,0.9,785.0,calcite,not applicable
456631,803,0.9,785.25,calcite,not applicable
456632,803,0.9,785.5,calcite,not applicable
456633,803,0.9,785.75,calcite,not applicable
456634,803,0.9,786.0,calcite,not applicable
456635,803,0.9,786.25,calcite,not applicable
456636,803,0.9,786.5,calcite,not applicable
456637,803,0.9,786.75,calcite,not applicable
456638,803,0.9,787.0,calcite,not applicable
456639,803,0.9,787.25,calcite,not applicable
456640,803,0.9,787.5,calcite,not applicable
456641,803,0.9,787.75,calcite,not applicable
456642,803,0.9,788.0,calcite,not applicable
456643,803,0.9,788.25,calcite,not applicable
456644,803,0.9,788.5,calcite,not applicable
456645,803,0.9,788.75,calcite,not applicable
456646,803,0.9,789.0,calcite,not applicable
456647,803,0.9,789.25,calcite,not applicable
456648,803,0.9,789.5,calcite,not applicable
456649,803,0.9,789.75,calcite,not applicable
456650,803,0.9,790.0,calcite,not applicable
456651,803,0.9,790.25,calcite,not applicable
456652,803,0.9,790.5,calcite,not applicable
456653,803,0.9,790.75,calcite,not applicable
456654,803,0.9,791.0,calcite,not applicable
456655,803,0.9,791.25,calcite,not applicable
456656,803,0.9,791.5,calcite,not applicable
456657,803,0.9,791.75,calcite,not applicable
456658,803,0.9,792.0,calcite,not applicable
456659,803,0.9,792.25,calcite,not applicable
456660,803,0.9,792.5,calcite,not applicable
456661,803,0.9,792.75,calcite,not applicable
456662,803,0.9,793.0,calcite,not applicable
456663,803,0.9,793.25,calcite,not applicable
456664,803,0.9,793.5,calcite,not applicable
456665,803,0.9,793.75,calcite,not applicable
456666,803,0.9,794.0,calcite,not applicable
456667,803,0.9,794.25,calcite,not applicable
456668,803,0.9,794.5,calcite,not applicable
456669,803,0.9,794.75,calcite,not applicable
456670,803,0.9,795.0,calcite,not applicable
456671,803,0.9,795.25,calcite,not applicable
456672,803,0.9,795.5,calcite,not applicable
456673,803,0.9,795.75,calcite,not applicable
456674,803,0.9,796.0,calcite,not applicable
456675,803,0.9,796.25,calcite,not applicable
456676,803,0.9,796.5,calcite,not applicable
456677,803,0.9,796.75,calcite,not applicable
456678,803,0.9,797.0,calcite,not applicable
456679,803,0.9,797.25,calcite,not applicable
456680,803,0.9,797.5,calcite,not applicable
456681,803,0.9,797.75,calcite,not applicable
456682,803,0.9,798.0,calcite,not applicable
456683,803,0.9,798.25,calcite,not applicable
456684,803,0.9,798.5,calcite,not applicable
